productName,,columnLength,column1,column2,column3,column4,column5,column6,column7,column8
ArcGIS Pro,,6,Version,Release Date,General Availability,Mature Support,Retired,Release Notes,,
ArcMap,,7,Version,Release Date,General Availability,Extended Support,Mature Support,Retired,Release Notes,
ArcGIS Aviation Airports,,7,Version,Release Date,General Availability,Extended Support,Mature Support,Retired,Release Notes,
ArcGIS Aviation Charting,,7,Version,Release Date,General Availability,Extended Support,Mature Support,Retired,Release Notes,
ArcGIS Bathymetry,,7,Version,Release Date,General Availability,Extended Support,Mature Support,Retired,Release Notes,
ArcGIS Maritime,,7,Version,Release Date,General Availability,Extended Support,Mature Support,Retired,Release Notes,
ArcGIS Pipeline Referencing,,7,Version,Release Date,General Availability,Extended Support,Mature Support,Retired,Release Notes,
ArcGIS Defense Mapping,,7,Version,Release Date,General Availability,Extended Support,Mature Support,Retired,Release Notes,
ArcGIS Production Mapping,,7,Version,Release Date,General Availability,Extended Support,Mature Support,Retired,Release Notes,
ArcGIS Roads and Highways,,7,Version,Release Date,General Availability,Extended Support,Mature Support,Retired,Release Notes,
ArcGIS Data Reviewer,,7,Version,Release Date,General Availability,Extended Support,Mature Support,Retired,Release Notes,
ArcGIS Data Interoperability,,7,Version,Release Date,General Availability,Extended Support,Mature Support,Retired,Release Notes,
ArcGIS Workflow Manager,,7,Version,Release Date,General Availability,Extended Support,Mature Support,Retired,Release Notes,
ArcGIS Workflow Manager (Classic),,7,Version,Release Date,General Availability,Extended Support,Mature Support,Retired,Release Notes,
ArcGIS Server,,7,Version,Release Date,General Availability,Extended Support,Mature Support,Retired,Release Notes,
Portal for ArcGIS,,7,Version,Release Date,General Availability,Extended Support,Mature Support,Retired,Release Notes,
ArcGIS Data Store,,7,Version,Release Date,General Availability,Extended Support,Mature Support,Retired,Release Notes,
ArcGIS Web Adaptor (IIS),,7,Version,Release Date,General Availability,Extended Support,Mature Support,Retired,Release Notes,
ArcGIS Web Adaptor (Java),,7,Version,Release Date,General Availability,Extended Support,Mature Support,Retired,Release Notes,
Kubernetes,,6,Version,Release Date,General Availability,Mature Support,Retired,Release Notes,,
ArcGIS Workflow Manager (Classic) for Server,,7,Version,Release Date,General Availability,Extended Support,Mature Support,Retired,Release Notes,
ArcGIS Data Interoperability for Server,,7,Version,Release Date,General Availability,Extended Support,Mature Support,Retired,Release Notes,
ArcGIS Data Reviewer for Server,,7,Version,Release Date,General Availability,Extended Support,Mature Support,Retired,Release Notes,
ArcGIS for INSPIRE,,7,Version,Release Date,General Availability,Extended Support,Mature Support,Retired,Release Notes,
ArcGIS Maritime for Server,,7,Version,Release Date,General Availability,Extended Support,Mature Support,Retired,Release Notes,
ArcGIS Monitor,,7,Version,Release Date,General Availability,Extended Support,Mature Support,Retired,Release Notes,
ArcGIS Utility Network,,7,Version,Release Date,General Availability,Extended Support,Mature Support,Retired,Release Notes,
ArcGIS Pipeline Referencing for Server,,7,Version,Release Date,General Availability,Extended Support,Mature Support,Retired,Release Notes,
ArcGIS Workflow Manager for Server,,7,Version,Release Date,General Availability,Extended Support,Mature Support,Retired,Release Notes,
ArcGIS Defense Mapping for Server,,7,Version,Release Date,General Availability,Extended Support,Mature Support,Retired,Release Notes,
ArcGIS Production Mapping for Server,,7,Version,Release Date,General Availability,Extended Support,Mature Support,Retired,Release Notes,
ArcGIS Roads and Highways for Server,,7,Version,Release Date,General Availability,Extended Support,Mature Support,Retired,Release Notes,
ArcGIS Online,,5,Version,Release Date,General Availability,Retired,Release Notes,,,
ArcGIS Velocity,,5,Version,Release Date,General Availability,Retired,Release Notes,,,
ArcGIS API for JavaScript,,7,Version,Release Date,General Availability,Extended Support,Mature Support,Retired,Release Notes,
ArcGIS Runtime SDK for .NET,,7,Version,Release Date,General Availability,Extended Support,Mature Support,Retired,Release Notes,
ArcGIS Runtime SDK for Android,,7,Version,Release Date,General Availability,Extended Support,Mature Support,Retired,Release Notes,
ArcGIS Runtime Local Server SDK,,7,Version,Release Date,General Availability,Extended Support,Mature Support,Retired,Release Notes,
ArcGIS Runtime SDK for iOS,,7,Version,Release Date,General Availability,Extended Support,Mature Support,Retired,Release Notes,
ArcGIS Runtime SDK for macOS,,7,Version,Release Date,General Availability,Extended Support,Mature Support,Retired,Release Notes,
ArcGIS Runtime SDK for Java,,7,Version,Release Date,General Availability,Extended Support,Mature Support,Retired,Release Notes,
ArcGIS Runtime SDK for Qt,,7,Version,Release Date,General Availability,Extended Support,Mature Support,Retired,Release Notes,
ArcGIS Engine,,7,Version,Release Date,General Availability,Extended Support,Mature Support,Retired,Release Notes,
ArcGIS Engine for Linux,,7,Version,Release Date,General Availability,Extended Support,Mature Support,Retired,Release Notes,
ArcGIS Pro SDK (.NET),,6,Version,Release Date,General Availability,Mature Support,Retired,Release Notes,,
ArcObjects SDK (.NET),,7,Version,Release Date,General Availability,Extended Support,Mature Support,Retired,Release Notes,
ArcObjects SDK (Java),,7,Version,Release Date,General Availability,Extended Support,Mature Support,Retired,Release Notes,
ArcObjects SDK (C++),,7,Version,Release Date,General Availability,Extended Support,Mature Support,Retired,Release Notes,
ArcGIS API for Python,,6,Version,Release Date,General Availability,Mature Support,Retired,Release Notes,,
ArcGIS Experience Builder,,7,Version,Release Date,General Availability,Extended Support,Mature Support,Retired,Release Notes,
