extendedSupport,generalAvailability,matureSupport,productName,releaseDate,retired,version
2024-02-29,2022-02-28,2026-02-28,Desktop,2020-07-28,2026-03-01,10.8.1
2024-02-29,2022-02-28,2026-02-28,Desktop,2020-02-20,2026-03-01,10.8
2023-02-28,2021-02-28,2025-02-28,Desktop,2019-06-27,2025-03-01,10.7.1
2023-02-28,2021-02-28,2025-02-28,Desktop,2019-03-21,2025-03-01,10.7
2021-12-31,2019-12-31,2023-12-31,Desktop,2018-07-17,2024-01-01,10.6.1
2021-12-31,2019-12-31,2023-12-31,Desktop,2018-01-17,2024-01-01,10.6
2020-11-30,2018-11-30,2022-11-30,Desktop,2017-06-29,2022-12-01,10.5.1
2020-11-30,2018-11-30,2022-11-30,Desktop,2016-12-15,2022-12-01,10.5
2020-01-31,2018-01-31,2022-01-31,Desktop,2016-05-31,2022-02-01,10.4.1
2020-01-31,2018-01-31,2022-01-31,Desktop,2016-02-18,2022-02-01,10.4
2018-11-30,2016-11-30,2020-11-30,Desktop,2015-05-13,2020-12-01,10.3.1
2018-11-30,2016-11-30,2020-11-30,Desktop,2014-12-10,2020-12-01,10.3
2017-06-30,2015-06-30,2019-06-30,Desktop,2014-04-15,2019-07-01,10.2.2
2017-06-30,2015-06-30,2019-06-30,Desktop,2014-01-07,2019-07-01,10.2.1
2017-06-30,2015-06-30,2019-06-30,Desktop,2013-07-30,2019-07-01,10.2
2015-12-31,2013-12-31,2017-12-31,Desktop,2012-06-11,2018-01-01,10.1
2013-12-31,2012-06-30,2015-12-31,Desktop,2010-06-30,2016-01-01,10
2024-02-29,2022-02-28,2026-02-28,Desktop,2020-07-28,2026-03-01,10.8.1
2024-02-29,2022-02-28,2026-02-28,Desktop,2020-02-20,2026-03-01,10.8
2023-02-28,2021-02-28,2025-02-28,Desktop,2019-06-27,2025-03-01,10.7.1
2023-02-28,2021-02-28,2025-02-28,Desktop,2019-03-21,2025-03-01,10.7
2021-12-31,2019-12-31,2023-12-31,Desktop,2018-07-17,2024-01-01,10.6.1
2021-12-31,2019-12-31,2023-12-31,Desktop,2018-01-17,2024-01-01,10.6
2020-11-30,2018-11-30,2022-11-30,Desktop,2017-06-29,2022-12-01,10.5.1
2020-11-30,2018-11-30,2022-11-30,Desktop,2016-12-15,2022-12-01,10.5
2020-01-31,2018-01-31,2022-01-31,Desktop,2016-05-31,2022-02-01,10.4.1
2020-01-31,2018-01-31,2022-01-31,Desktop,2016-02-18,2022-02-01,10.4
2018-11-30,2016-11-30,2020-11-30,Desktop,2015-05-13,2020-12-01,10.3.1
2018-11-30,2016-11-30,2020-11-30,Desktop,2014-12-10,2020-12-01,10.3
2017-06-30,2015-06-30,2019-06-30,Desktop,2014-04-15,2019-07-01,10.2.2
2017-06-30,2015-06-30,2019-06-30,Desktop,2014-01-07,2019-07-01,10.2.1
2017-06-30,2015-06-30,2019-06-30,Desktop,2013-07-30,2019-07-01,10.2
2015-12-31,2013-12-31,2017-12-31,Desktop,2012-06-11,2018-01-01,10.1
undefined-NaN-NaN,2022-10-31,2024-05-31,Enterprise,2021-05-06,2024-06-01,10.9
2024-07-31,2022-07-31,2026-07-31,Enterprise,2020-07-28,2026-08-01,10.8.1
undefined-NaN-NaN,2021-08-31,2023-02-28,Enterprise,2020-02-20,2023-03-01,10.8
2023-05-31,2021-05-31,2025-05-31,Enterprise,2019-06-27,2025-06-01,10.7.1
undefined-NaN-NaN,2020-09-30,2022-03-31,Enterprise,2019-03-21,2022-04-01,10.7
2021-12-31,2019-12-31,2023-12-31,Enterprise,2018-07-17,2024-01-01,10.6.1
2021-12-31,2019-12-31,2023-12-31,Enterprise,2018-01-17,2024-01-01,10.6
2020-11-30,2018-11-30,2022-11-30,Enterprise,2017-06-29,2022-12-01,10.5.1
2020-11-30,2018-11-30,2022-11-30,Enterprise,2016-12-15,2022-12-01,10.5
2020-01-31,2018-01-31,2022-01-31,Enterprise,2016-05-31,2022-02-01,10.4.1
2020-01-31,2018-01-31,2022-01-31,Enterprise,2016-02-18,2022-02-01,10.4
2018-11-30,2016-11-30,2020-11-30,Enterprise,2015-05-13,2020-12-01,10.3.1
2018-11-30,2016-11-30,2020-11-30,Enterprise,2014-12-10,2020-12-01,10.3
